Reference, Quantity, Value, Footprint, Datasheet
C10 ,1,"33p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C11 C12 ,2,"15p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C1 C5 C8 C13 ,4,"1n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C9 C18 ,2,"10p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C2 ,1,"10n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C3 C14 C15 C16 C17 ,5,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C4 ,1,"10u/16V","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","~"
C6 C7 ,2,"1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
CN1 ,1,"USB_B_Mini","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","~"
JP1 J1 JP2 ,3,"Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
Q1 ,1,"BC807","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC808-D.pdf"
R2 R3 ,2,"27R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R4 ,1,"1M","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R5 ,1,"100K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R6 ,1,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R1 R7 ,2,"1K5","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
U1 ,1,"AT91SAM7S256","Package_QFP:LQFP-64_10x10mm_P0.5mm",""
U2 ,1,"PIC_PIN_HEADER","Package_DIP:DIP-28_W7.62mm_Socket",""
X1 ,1,"18.342MHz","Crystal:Crystal_SMD_HC49-SD","~"